id,nombre_completo,edad,provincia,nivel_educativo,horas_estudio_semana,asistencia_%,internet_en_casa,nivel_socioeconomico,promedio_final
49,Daniel Gilberto Conde Leon,24,Esmeraldas,Secundaria,23,89.7,True,Alto,6.07
50,Elisabet Acuña Menendez,22,Guayas,Secundaria,33,55.0,False,Alto,4.76
51,Amado Molins Sáez,18,Pichincha,Bachillerato,1,69.8,True,Medio,3.89
52,Ana Herrero,23,Loja,Bachillerato,12,95.8,False,Bajo,5.63
53,Onofre Rivas Álamo,16,Loja,Secundaria,14,90.6,True,Medio,5.91
54,Susanita Baena-Luís,16,Esmeraldas,Secundaria,30,87.2,True,Medio,5.36
55,Selena Pintor Tomás,18,Guayas,Secundaria,24,69.3,True,Alto,4.55
56,Tania Llamas,24,Loja,Bachillerato,24,76.1,False,Alto,5.87
57,Tania Morera López,25,Tungurahua,Secundaria,15,53.8,True,Bajo,4.47
58,Gregorio Grau Aznar,20,Guayas,Bachillerato,11,87.5,False,Medio,4.73
59,Carolina Campillo Páez,15,Guayas,Bachillerato,22,84.9,True,Bajo,4.99
60,Moreno Herranz Carro,15,Pichincha,Bachillerato,12,57.7,True,Medio,4.02
61,África Valencia Marin,23,Esmeraldas,Secundaria,34,98.0,True,Alto,6.85
62,Severo de Verdugo,22,Chimborazo,Secundaria,7,62.6,False,Medio,3.95
63,Brunilda Caballero Maldonado,17,Esmeraldas,Secundaria,18,56.5,False,Bajo,3.86
64,Gil Garmendia Beltrán,23,Pichincha,Bachillerato,17,91.4,True,Medio,4.64
65,Jose Antonio Zabala Pereira,23,Guayas,Secundaria,3,83.0,False,Medio,4.23
66,Ximena Piñeiro Barberá,16,Guayas,Bachillerato,17,80.2,True,Medio,5.42
67,Jose Francisco Telmo Arévalo Oliva,19,Loja,Bachillerato,32,58.8,False,Medio,5.02
68,Gregorio Uriarte Cuéllar,17,Pichincha,Secundaria,1,57.2,False,Medio,3.06
69,Prudencio Gallardo Pazos,15,Tungurahua,Secundaria,27,63.5,False,Alto,3.91
70,Urbano Castrillo Codina,24,Esmeraldas,Bachillerato,28,54.7,False,Bajo,5.28
71,José Mari de Cabezas,25,Pichincha,Secundaria,31,77.8,True,Alto,5.21
72,Bernardo Gutiérrez Gomis,21,Tungurahua,Secundaria,4,98.0,True,Bajo,5.7
73,Pancho Piñol Pereira,15,Chimborazo,Secundaria,35,81.0,False,Medio,5.89
74,Caridad Grau Torre,15,Tungurahua,Secundaria,14,63.3,False,Medio,4.86
75,Teobaldo Téllez-Cabeza,21,Chimborazo,Secundaria,37,94.7,True,Bajo,5.66
76,Florina Vila Navarrete,22,Pichincha,Secundaria,25,58.1,True,Bajo,5.26
77,Buenaventura Diez-Jiménez,23,Tungurahua,Secundaria,1,57.9,False,Medio,2.61
78,Abril Cuervo-Verdejo,17,Loja,Bachillerato,2,86.6,False,Medio,3.9
79,Mario Gomis,17,Loja,Bachillerato,34,95.8,True,Medio,7.2
80,Glauco del Sotelo,20,Loja,Secundaria,14,85.2,True,Bajo,5.05
81,Casemiro del Torrijos,24,Tungurahua,Secundaria,20,52.2,True,Alto,4.14
82,Martina Alba Gallardo Villa,17,Pichincha,Secundaria,20,74.5,False,Alto,4.83
83,Matías Vila Rey,17,Chimborazo,Bachillerato,28,94.5,False,Alto,7.04
84,Lupe Gaya Peláez,21,Tungurahua,Bachillerato,38,78.2,True,Bajo,5.39
85,Palmira del Sabater,24,Loja,Secundaria,33,77.4,True,Alto,5.79
86,Miriam Iborra Zurita,25,Chimborazo,Bachillerato,19,53.3,False,Medio,3.98
87,Lucía Jódar Ibarra,16,Manabi,Bachillerato,38,87.1,True,Alto,5.46
88,Noelia Vicens Sarabia,16,Guayas,Secundaria,32,53.2,False,Medio,4.72
89,Cipriano Saldaña Castelló,23,Chimborazo,Secundaria,33,58.4,False,Alto,5.17
90,Fátima Domingo,15,Pichincha,Secundaria,31,56.2,False,Alto,4.45
91,Casemiro Marin Peñas,21,Esmeraldas,Bachillerato,25,51.9,False,Alto,3.53
92,Ruth Rubio Comas,25,Esmeraldas,Secundaria,31,68.7,False,Alto,5.77
93,María Ángeles Fortuny Zamorano,23,Esmeraldas,Bachillerato,5,73.1,False,Bajo,4.48
94,Manuel Vallejo Barberá,15,Guayas,Bachillerato,1,96.4,True,Medio,4.74
95,Toribio Ramón Álvarez,23,Esmeraldas,Bachillerato,20,64.9,True,Alto,4.43
96,Alma Gisbert,20,Esmeraldas,Secundaria,2,99.8,False,Bajo,4.33
97,Débora Morante Ballester,23,Chimborazo,Bachillerato,32,96.4,False,Medio,6.61
98,Sol Osuna,23,Esmeraldas,Secundaria,37,85.7,False,Medio,6.33
99,Aurelio Pacheco Puerta,18,Chimborazo,Secundaria,33,77.7,True,Bajo,5.41
100,Severo Espinosa,24,Esmeraldas,Bachillerato,6,64.5,False,Alto,3.34
101,Merche Pino-Vilar,19,Loja,Bachillerato,23,56.0,True,Alto,4.14
102,Timoteo Moles-Rosselló,17,Guayas,Secundaria,2,61.0,False,Medio,3.87
103,Gilberto Quirós Andreu,24,Esmeraldas,Secundaria,35,98.0,False,Alto,7.26
104,Sol Morcillo Méndez,21,Esmeraldas,Secundaria,29,68.2,False,Bajo,5.37
105,Salomé Mulet Benavent,20,Tungurahua,Secundaria,11,87.2,False,Alto,3.93
106,Berta Aparicio Osorio,20,Tungurahua,Bachillerato,33,70.3,False,Bajo,5.18
107,Melisa Iborra Osorio,23,Chimborazo,Secundaria,21,66.2,True,Bajo,3.79
108,Victor Zabaleta Castañeda,22,Esmeraldas,Secundaria,19,58.6,True,Medio,4.07
109,Clarisa Serafina Abella Pastor,15,Manabi,Bachillerato,27,93.8,True,Bajo,6.16
110,Adelia Rivas Teruel,16,Manabi,Bachillerato,3,84.4,True,Bajo,4.56
111,Florencia Bermúdez Coello,23,Esmeraldas,Secundaria,34,97.9,False,Bajo,5.89
112,Tomasa Arnau Gomez,18,Pichincha,Bachillerato,8,77.5,False,Alto,4.8
113,Araceli Fernandez Perelló,16,Chimborazo,Bachillerato,7,81.5,False,Medio,4.39
114,Raúl Gámez Sebastián,17,Tungurahua,Secundaria,21,85.3,True,Medio,5.27
115,Encarna Castrillo Almansa,19,Pichincha,Secundaria,9,54.2,True,Medio,3.21
116,Feliciano Gisbert Carmona,21,Loja,Secundaria,1,69.7,True,Medio,3.84
117,Fito Puig Reina,23,Tungurahua,Secundaria,30,63.9,True,Bajo,5.5
118,Isabel Arce Vall,18,Pichincha,Secundaria,16,78.5,False,Alto,4.85
119,Clímaco del Llabrés,20,Esmeraldas,Secundaria,39,99.0,True,Medio,6.37
120,Eliana Morán-Leon,21,Esmeraldas,Bachillerato,13,85.4,True,Bajo,4.93
121,Salomón Vila Rico,23,Tungurahua,Secundaria,0,60.8,False,Alto,2.85
122,Bernabé Hervás Lago,24,Loja,Secundaria,38,84.6,False,Medio,6.02
123,Morena Luís,22,Esmeraldas,Bachillerato,16,68.9,False,Alto,5.09
124,Consuelo Coca Carro,17,Tungurahua,Bachillerato,18,75.5,True,Bajo,4.7
125,Sergio del Vázquez,22,Pichincha,Secundaria,34,93.3,False,Alto,5.75
126,Silvia de Mascaró,15,Pichincha,Bachillerato,16,75.7,False,Medio,5.42
127,Rómulo Raya Polo,21,Chimborazo,Secundaria,20,61.3,True,Alto,4.74
128,Gloria Sevilla Peñas,18,Esmeraldas,Secundaria,8,60.2,True,Bajo,4.77
129,Martina Rebollo Garrido,24,Loja,Bachillerato,13,66.4,False,Bajo,3.9
130,Cristina Paz Huertas,19,Manabi,Secundaria,8,59.3,True,Alto,4.02
131,Remedios Pulido Figueras,23,Manabi,Bachillerato,31,80.6,False,Bajo,6.43
132,Aitor Rivero Cánovas,20,Chimborazo,Bachillerato,37,73.6,False,Bajo,6.02
133,Clímaco Crespi Armas,22,Guayas,Secundaria,6,83.7,True,Bajo,4.69
134,Alfredo Barrera Vila,22,Guayas,Secundaria,10,88.3,False,Alto,4.7
135,Perlita Hervia Puerta,21,Chimborazo,Bachillerato,0,68.4,True,Bajo,4.55
136,Jacinto Fuertes Carrillo,24,Pichincha,Bachillerato,20,94.8,True,Alto,5.61
137,Aitor Santiago Cámara,18,Chimborazo,Bachillerato,18,58.3,True,Alto,4.25
138,Nerea Alberto Lledó,22,Guayas,Bachillerato,16,95.8,False,Alto,5.4
139,Jennifer de Ropero,20,Esmeraldas,Secundaria,5,52.8,True,Alto,4.2
140,Ricarda Cordero,17,Pichincha,Bachillerato,39,99.6,False,Medio,7.01
141,María Pilar Márquez Pou,16,Esmeraldas,Bachillerato,6,71.9,False,Medio,3.77
142,Haydée Castro-Padilla,16,Loja,Bachillerato,27,54.3,True,Medio,4.72
143,Anacleto de Samper,24,Esmeraldas,Secundaria,10,60.3,True,Alto,3.67
144,Octavio Valencia-Izquierdo,15,Manabi,Secundaria,27,87.3,True,Bajo,5.72
145,Ariadna Revilla Merino,21,Manabi,Secundaria,28,67.3,False,Bajo,4.26
146,Lucio Querol Aguilera,20,Esmeraldas,Bachillerato,20,67.8,False,Alto,4.74
147,Herminio Ramiro Quirós Báez,15,Chimborazo,Bachillerato,4,91.1,True,Medio,5.42
148,Ainoa Polo Marquez,23,Chimborazo,Bachillerato,8,50.0,False,Alto,2.92
149,Rosalva Montesinos Alsina,18,Guayas,Secundaria,35,72.7,True,Alto,6.3
150,Emigdio Lago Aguado,19,Pichincha,Bachillerato,17,53.8,True,Medio,3.24
151,Bernarda Mateu Cantón,24,Manabi,Bachillerato,34,98.9,False,Bajo,6.37
152,Tadeo del Yáñez,18,Guayas,Bachillerato,6,50.7,False,Alto,3.47
153,Gregorio Fernández Pelayo,15,Manabi,Bachillerato,18,61.2,False,Alto,4.65
154,Atilio Morata-Codina,15,Guayas,Secundaria,5,89.5,True,Medio,4.19
155,José María de Alvarado,16,Pichincha,Bachillerato,12,65.4,True,Alto,4.4
156,Edelmiro Cabo Antón,18,Loja,Secundaria,29,76.4,True,Alto,5.98
157,Valentín de Maldonado,24,Chimborazo,Secundaria,3,95.7,True,Bajo,5.16
158,Che Criado-Redondo,25,Tungurahua,Bachillerato,20,63.9,False,Alto,4.58
159,Fátima Figuerola Téllez,17,Chimborazo,Secundaria,14,70.1,True,Bajo,4.53
160,Ramón Ramón,19,Esmeraldas,Secundaria,40,57.2,True,Alto,5.65
161,Elba Company,20,Guayas,Secundaria,37,63.3,True,Medio,6.27
162,Nico Guerra,17,Manabi,Secundaria,8,58.4,True,Alto,3.61
163,Heliodoro Vall-Jara,15,Pichincha,Bachillerato,2,94.3,False,Medio,5.13
164,Ofelia Martín Bonilla,24,Tungurahua,Bachillerato,2,58.1,True,Alto,4.19
165,Nacio Padilla Alcaraz,22,Manabi,Bachillerato,31,97.7,True,Medio,6.22
166,Danilo Amor Oliva Casanovas,24,Guayas,Secundaria,34,71.1,True,Bajo,6.29
167,Felicia Áurea Pozo Haro,15,Esmeraldas,Secundaria,10,69.2,False,Medio,4.35
168,Natanael del Muro,17,Manabi,Bachillerato,4,90.6,False,Bajo,4.97
169,Calixto Marín,20,Manabi,Bachillerato,1,78.8,True,Alto,3.71
170,Cecilio Mancebo Perales,24,Loja,Bachillerato,17,81.8,True,Medio,4.1
171,Hilda Feliu Olivé,24,Esmeraldas,Secundaria,7,50.2,True,Medio,3.73
172,Nidia Bolaños Mosquera,20,Pichincha,Bachillerato,5,54.6,True,Medio,3.96
173,Jennifer Clavero Catalán,25,Tungurahua,Secundaria,34,57.1,True,Alto,6.17
174,Evelia Losada Ureña,22,Esmeraldas,Secundaria,32,84.7,False,Alto,5.43
175,Andrés Felipe Chus Torrens Martorell,22,Loja,Secundaria,5,85.7,True,Alto,4.26
176,Ciro del Casares,19,Chimborazo,Secundaria,22,96.0,True,Bajo,6.28
177,María Dolores Zorrilla,23,Manabi,Bachillerato,20,55.6,True,Medio,4.57
178,Baudelio Noguera-Jaén,15,Manabi,Bachillerato,8,66.8,False,Alto,4.24
179,Jacinto Soriano Miguel,21,Tungurahua,Secundaria,15,58.2,False,Alto,3.45
180,Valero Llorens,15,Esmeraldas,Bachillerato,32,62.8,True,Bajo,5.32
181,Jose Manuel Duran-Zamorano,24,Pichincha,Secundaria,7,52.8,True,Bajo,3.52
182,Pancho Bayo Valle,18,Tungurahua,Bachillerato,5,97.9,False,Medio,5.44
183,Julieta Maristela Miralles Frías,22,Esmeraldas,Secundaria,1,92.9,False,Bajo,5.32
184,Raimundo Alcaraz,15,Esmeraldas,Secundaria,14,93.5,False,Alto,5.49
185,Teobaldo Jerez,24,Chimborazo,Bachillerato,8,97.9,True,Medio,5.0
186,María Méndez Piñol,20,Tungurahua,Bachillerato,18,98.3,True,Alto,6.09
187,Eugenio Ariño Fonseca,17,Guayas,Secundaria,23,68.9,False,Bajo,5.2
188,Felicia Jara Pont,18,Manabi,Bachillerato,9,87.3,True,Alto,5.04
189,Casandra del Gilabert,21,Chimborazo,Secundaria,25,67.9,False,Alto,4.53
190,Isaías Verdú Herrera,21,Esmeraldas,Secundaria,14,64.6,False,Medio,3.13
191,Angelina Santos Viña,17,Tungurahua,Secundaria,31,79.9,True,Alto,4.68
192,Dan Rocha Valdés,21,Loja,Bachillerato,21,76.4,False,Bajo,4.72
193,Paulina Obdulia Pinilla Nuñez,25,Loja,Bachillerato,2,97.9,False,Bajo,4.53
194,Tristán Victoriano Oliveras Abad,23,Loja,Bachillerato,5,64.3,False,Medio,4.07
195,Santiago Blázquez,23,Esmeraldas,Secundaria,11,57.9,True,Alto,3.89
196,Marcela del Zamora,15,Esmeraldas,Secundaria,1,62.8,False,Alto,3.96
197,Geraldo Pintor Borja,19,Pichincha,Secundaria,24,76.5,True,Medio,5.19
198,Ema Reyes Monreal Robles,19,Manabi,Secundaria,37,61.9,False,Medio,5.35
199,Jacobo Mena Taboada,16,Pichincha,Bachillerato,13,91.1,False,Alto,5.33
200,Eulalia Benavente Luz,25,Guayas,Bachillerato,28,58.4,True,Medio,3.93
201,Ana Belén Belén Cervantes Rosado,22,Guayas,Secundaria,29,51.2,True,Alto,4.84
202,Lidia Dalmau Elías,24,Tungurahua,Bachillerato,29,54.8,False,Medio,5.66
203,Corona Viña,22,Esmeraldas,Secundaria,39,87.6,False,Medio,6.8
204,Serafina Alegre Ayuso,19,Guayas,Bachillerato,35,61.9,False,Bajo,5.71
205,María Pilar Rovira-Gras,19,Esmeraldas,Bachillerato,29,69.4,False,Alto,5.3
206,Celestino Aníbal Barragán Pascual,20,Chimborazo,Bachillerato,15,93.0,True,Bajo,5.38
207,Fabricio Salazar Bosch,20,Pichincha,Secundaria,2,60.9,True,Medio,3.59
208,Gerardo Diego-Botella,21,Pichincha,Secundaria,3,86.0,False,Bajo,5.23
209,Amador Bello Pazos,24,Tungurahua,Secundaria,24,52.0,True,Alto,3.35
210,Hermenegildo Bayón Alcolea,16,Guayas,Bachillerato,25,51.6,False,Alto,3.39
211,Begoña Pujol Peñalver,15,Guayas,Bachillerato,18,65.7,False,Bajo,4.64
212,Nadia Carreño Pozuelo,15,Guayas,Secundaria,5,71.0,False,Medio,4.86
213,Graciana Carrera Lloret,25,Esmeraldas,Secundaria,27,76.2,True,Medio,5.0
214,Heliodoro Carnero,23,Esmeraldas,Bachillerato,26,55.4,True,Alto,4.97
215,Josefina de Arce,25,Esmeraldas,Secundaria,0,96.1,True,Bajo,4.37
216,Aroa Morata Gutierrez,21,Guayas,Secundaria,30,90.6,False,Alto,6.93
217,Dafne Márquez,19,Manabi,Bachillerato,18,97.6,False,Bajo,5.69
218,Rosario Pino Fonseca,21,Loja,Secundaria,30,85.3,False,Alto,6.46
219,Noé Zabala Medina,24,Loja,Secundaria,3,88.0,False,Alto,4.11
220,Manuelita Revilla Alegria,18,Tungurahua,Bachillerato,25,77.7,False,Bajo,5.41
221,Vasco de Meléndez,24,Guayas,Bachillerato,36,65.7,False,Medio,5.96
222,Elena Casares Palacios,25,Manabi,Bachillerato,21,94.4,True,Medio,5.32
223,Fabián del Morera,24,Pichincha,Secundaria,2,85.3,False,Alto,4.6
224,Azucena Lobato-Carranza,17,Loja,Secundaria,32,99.5,False,Medio,6.25
225,Íñigo Jurado Haro,23,Chimborazo,Bachillerato,13,66.1,True,Bajo,4.73
226,Alfredo Comas Lucena,16,Manabi,Secundaria,26,51.3,True,Medio,3.8
227,Florina Terrón Machado,25,Pichincha,Secundaria,18,55.0,True,Alto,4.24
228,Blanca Figuerola-Medina,19,Pichincha,Bachillerato,2,98.6,True,Medio,4.68
229,Dominga Regina Ramón Contreras,16,Tungurahua,Secundaria,35,90.2,False,Medio,6.25
230,Gisela Gloria Heras Piñeiro,15,Chimborazo,Secundaria,1,78.0,False,Alto,4.78
231,Luna Paniagua Osorio,20,Chimborazo,Secundaria,3,99.7,False,Alto,5.13
232,Emilio Folch,19,Manabi,Bachillerato,8,56.0,False,Alto,2.82
233,Rosa María Ariño Collado,21,Loja,Secundaria,9,94.9,False,Alto,4.37
234,Rómulo Palomar Galindo,25,Tungurahua,Bachillerato,36,85.0,False,Bajo,6.42
235,José Luis Cordero Peñas,17,Chimborazo,Bachillerato,38,56.2,False,Alto,3.84
236,Eugenia Pavón Garcia,17,Esmeraldas,Secundaria,23,98.6,True,Bajo,6.24
237,Ariadna Cortés Amador,16,Tungurahua,Bachillerato,0,63.9,False,Bajo,3.26
238,Pío del Pedrosa,18,Chimborazo,Secundaria,9,86.1,False,Bajo,4.92
239,Jose Nacio Sierra Carreño,25,Chimborazo,Secundaria,28,54.7,True,Bajo,4.65
240,Paola del Diez,21,Guayas,Secundaria,5,72.6,True,Medio,3.14
241,Narciso Pont Pedraza,23,Pichincha,Secundaria,10,69.5,True,Alto,3.87
242,Geraldo Santamaría-Gimenez,21,Manabi,Secundaria,27,70.1,True,Alto,5.47
243,Luisa Catalá Llopis,16,Guayas,Bachillerato,38,94.4,True,Alto,6.48
244,Dafne Santiago,18,Manabi,Bachillerato,26,53.9,False,Alto,4.89
245,Javiera Sala Adán,22,Pichincha,Bachillerato,17,80.8,True,Bajo,4.76
246,Omar del Toledo,21,Pichincha,Secundaria,19,95.1,True,Alto,6.56
247,Blanca Ureña Gallego,17,Guayas,Secundaria,0,75.7,True,Alto,3.66
248,Trinidad Torres Vila,15,Tungurahua,Secundaria,31,87.1,False,Bajo,6.74
249,Remedios Cerro Arnau,21,Pichincha,Secundaria,15,93.4,False,Alto,5.18
250,Ruperta Blanch Diego,17,Esmeraldas,Secundaria,29,55.2,False,Medio,5.24
251,Nydia Pacheco Casals,20,Tungurahua,Bachillerato,21,64.7,False,Medio,5.17
252,Daniel del Barrena,24,Manabi,Bachillerato,17,55.4,False,Bajo,5.2
253,Eusebio de Carro,22,Loja,Secundaria,17,71.5,False,Medio,4.57
254,Leonel Martín Aguilera Manjón,17,Chimborazo,Secundaria,3,77.6,True,Medio,4.37
255,Édgar Sobrino,16,Manabi,Bachillerato,35,75.4,True,Alto,6.36
256,Rodrigo Gonzalo Chaves,16,Esmeraldas,Secundaria,4,99.4,False,Bajo,5.51
257,Eliseo Jose Ramón Moles Arribas,25,Tungurahua,Bachillerato,23,91.3,False,Alto,4.99
258,Martirio Fábregas Rodriguez,25,Esmeraldas,Bachillerato,20,66.1,True,Bajo,4.61
259,Febe Dionisia Goicoechea Piña,23,Loja,Secundaria,33,55.2,False,Medio,4.11
260,Loreto Sarmiento Villegas,22,Chimborazo,Bachillerato,2,85.6,True,Bajo,3.67
261,María Jesús Font Herranz,22,Tungurahua,Secundaria,39,64.2,False,Alto,5.57
262,Palmira Sanmiguel Arias,21,Loja,Bachillerato,1,74.9,True,Medio,3.85
263,Feliciana Iborra Murillo,15,Esmeraldas,Secundaria,26,57.9,False,Alto,4.44
264,Nazaret Ramón Ayuso,16,Pichincha,Secundaria,14,96.2,False,Bajo,5.81
265,Nazario Corral Saavedra,15,Chimborazo,Bachillerato,21,69.0,False,Alto,4.0
266,Borja Alfonso Morales,18,Esmeraldas,Secundaria,14,68.4,False,Bajo,4.29
267,Adrián Sáenz Guardiola,18,Loja,Secundaria,35,59.3,False,Medio,3.94
268,Heraclio Varela Martí,22,Guayas,Secundaria,17,67.6,True,Alto,4.2
269,Mar Cózar Menéndez,22,Loja,Bachillerato,39,70.9,True,Bajo,6.12
270,María Ángeles de Peña,22,Pichincha,Bachillerato,28,78.4,False,Bajo,5.35
271,Gil Calixto Jara Marti,17,Loja,Bachillerato,30,77.5,False,Bajo,5.81
272,Humberto Vallés Piñol,21,Manabi,Secundaria,30,70.5,False,Bajo,4.97
273,José Mari de Guardiola,15,Guayas,Bachillerato,16,57.9,True,Alto,2.98
274,Kike Beltrán Castillo,20,Tungurahua,Secundaria,25,86.0,True,Alto,5.67
275,Elisa Tovar Ortuño,23,Chimborazo,Secundaria,28,81.0,False,Alto,5.46
276,Rafaela Fernández Anguita,18,Loja,Bachillerato,20,92.2,False,Bajo,5.1
277,Yago Zamorano,16,Manabi,Bachillerato,6,56.0,True,Medio,3.06
278,Mario Garcés García,23,Pichincha,Bachillerato,30,56.0,False,Bajo,5.28
279,Federico Ródenas-Espejo,21,Chimborazo,Secundaria,14,62.3,True,Medio,3.89
280,Encarnación Sierra Valderrama,25,Esmeraldas,Bachillerato,27,72.8,True,Medio,6.28
281,Rico del Huguet,21,Manabi,Bachillerato,20,55.1,False,Medio,4.68
282,María Ángeles Valenciano,25,Esmeraldas,Secundaria,37,67.8,True,Medio,5.6
283,Ciro Bayón-Fuente,20,Guayas,Bachillerato,9,70.7,True,Bajo,3.65
284,Valeria Benitez,15,Pichincha,Bachillerato,16,86.5,True,Bajo,5.08
285,Eloísa Rojas,17,Tungurahua,Bachillerato,10,89.6,False,Medio,5.32
286,Porfirio Comas Manzanares,22,Esmeraldas,Secundaria,20,84.2,False,Alto,6.06
287,Tamara Jenny Ferrero Pedrosa,22,Manabi,Bachillerato,9,78.7,False,Alto,5.79
288,Selena Valencia Armas,25,Pichincha,Secundaria,23,54.9,False,Bajo,4.53
289,Jonatan Porfirio Andres Barral,18,Guayas,Bachillerato,37,89.8,True,Medio,6.86
290,María Luisa Yuste Ferrán,24,Tungurahua,Secundaria,30,62.0,False,Bajo,4.45
291,Pilar de Villalonga,18,Guayas,Bachillerato,13,84.7,True,Bajo,4.91
292,Ibán Tamarit Olivares,23,Esmeraldas,Bachillerato,38,56.2,True,Alto,5.14
293,Hipólito de Sobrino,17,Manabi,Secundaria,34,63.1,True,Alto,4.86
294,Gilberto Chacón Gallart,18,Guayas,Bachillerato,9,95.2,False,Bajo,4.72
295,María Manuela Roca Mosquera,21,Chimborazo,Bachillerato,40,83.4,True,Medio,6.33
296,Josefa Galván Parejo,18,Chimborazo,Bachillerato,0,75.1,True,Alto,4.79
297,Modesta Berrocal Peláez,17,Manabi,Bachillerato,38,91.3,False,Alto,6.37
298,Angelino del Ayala,17,Tungurahua,Secundaria,8,75.9,False,Alto,4.77
299,Constanza Botella Canals,17,Tungurahua,Secundaria,40,98.4,False,Bajo,6.57
300,Maribel Piñeiro-Mayoral,17,Pichincha,Secundaria,14,60.6,True,Bajo,4.19
301,Teodoro Montero-Flor,17,Pichincha,Secundaria,35,82.8,True,Medio,5.79
302,Eutimio Pagès Hernando,17,Guayas,Secundaria,21,89.6,True,Bajo,5.68
